epoch,step,test_loss,train_loss,val_accuracy,val_loss
0,49,,0.634955883026123,,
0,99,,0.19590148329734802,,
0,149,,0.31667324900627136,,
0,199,,0.08673018217086792,,
0,249,,0.4583476483821869,,
0,299,,0.06364626437425613,,
0,349,,0.15118056535720825,,
0,399,,0.059402428567409515,,
0,449,,0.09399592131376266,,
0,499,,0.0883474126458168,,
0,549,,0.35575541853904724,,
0,599,,0.04550088569521904,,
0,649,,0.14403808116912842,,
0,699,,0.17025330662727356,,
0,749,,0.10551414638757706,,
0,799,,0.0330091156065464,,
0,849,,0.06036027520895004,,
0,899,,0.21751931309700012,,
0,949,,0.06439273804426193,,
0,999,,0.014237095601856709,,
0,1049,,0.10967392474412918,,
0,1099,,0.04979593679308891,,
0,1149,,0.28956088423728943,,
0,1199,,0.04512609541416168,,
0,1249,,0.07077063620090485,,
0,1299,,0.13586890697479248,,
0,1349,,0.013204692862927914,,
0,1399,,0.03956381231546402,,
0,1449,,0.03550949692726135,,
0,1499,,0.05868544429540634,,
0,1549,,0.09806640446186066,,
0,1599,,0.07987164705991745,,
0,1649,,0.02579093538224697,,
0,1699,,0.0060985698364675045,,
0,1718,,,0.9761999845504761,0.07106363773345947
1,1749,,0.002521513495594263,,
1,1799,,0.09148768335580826,,
1,1849,,0.02116183191537857,,
1,1899,,0.12904766201972961,,
1,1949,,0.05697689950466156,,
1,1999,,0.05920473858714104,,
1,2049,,0.023504313081502914,,
1,2099,,0.1295483112335205,,
1,2149,,0.018845392391085625,,
1,2199,,0.009562565013766289,,
1,2249,,0.009110847488045692,,
1,2299,,0.004168306943029165,,
1,2349,,0.0010721696307882667,,
1,2399,,0.047074414789676666,,
1,2449,,0.0011994672240689397,,
1,2499,,0.018661603331565857,,
1,2549,,0.02044239081442356,,
1,2599,,0.0012818158138543367,,
1,2649,,0.0152231240645051,,
1,2699,,0.08821546286344528,,
1,2749,,0.014028087258338928,,
1,2799,,0.004529148805886507,,
1,2849,,0.02752615511417389,,
1,2899,,0.030904462561011314,,
1,2949,,0.1691133677959442,,
1,2999,,0.01618533581495285,,
1,3049,,0.0035654758103191853,,
1,3099,,0.02103341743350029,,
1,3149,,0.02167392708361149,,
1,3199,,0.24532324075698853,,
1,3249,,0.005017226096242666,,
1,3299,,0.0984276682138443,,
1,3349,,0.002908737864345312,,
1,3399,,0.04600515216588974,,
1,3437,,,0.9847999811172485,0.045888353139162064
2,3449,,0.013892692513763905,,
2,3499,,0.008370619267225266,,
2,3549,,0.02858675830066204,,
2,3599,,0.02936464175581932,,
2,3649,,0.006553370039910078,,
2,3699,,0.0011494833743199706,,
2,3749,,0.001262870617210865,,
2,3799,,0.06228421628475189,,
2,3849,,0.0032268741633743048,,
2,3899,,0.09913934022188187,,
2,3949,,0.04653885215520859,,
2,3999,,0.008877730928361416,,
2,4049,,0.004940038081258535,,
2,4099,,0.01127621904015541,,
2,4149,,0.00867261178791523,,
2,4199,,0.0034195068292319775,,
2,4249,,0.041666191071271896,,
2,4299,,0.05761655047535896,,
2,4349,,0.0019455509027466178,,
2,4399,,0.04347078502178192,,
2,4449,,0.010534858331084251,,
2,4499,,0.11128394305706024,,
2,4549,,0.007989608682692051,,
2,4599,,0.2585556209087372,,
2,4649,,0.0183681882917881,,
2,4699,,0.0007674298831261694,,
2,4749,,0.01754344068467617,,
2,4799,,0.008693136274814606,,
2,4849,,0.028501028195023537,,
2,4899,,0.27251091599464417,,
2,4949,,0.03346208855509758,,
2,4999,,0.02907695434987545,,
2,5049,,0.0010908901458606124,,
2,5099,,0.17927101254463196,,
2,5149,,0.03955581784248352,,
2,5156,,,0.98580002784729,0.04426063969731331
3,5199,,0.05523664131760597,,
3,5249,,0.0028823725879192352,,
3,5299,,0.0010364905465394258,,
3,5349,,0.04704117402434349,,
3,5399,,0.14310647547245026,,
3,5449,,0.0034892274998128414,,
3,5499,,0.0014902274124324322,,
3,5549,,0.020793436095118523,,
3,5599,,0.007526912726461887,,
3,5649,,0.000984828919172287,,
3,5699,,0.006934848614037037,,
3,5749,,0.005881207063794136,,
3,5799,,0.01531138364225626,,
3,5849,,0.005767096299678087,,
3,5899,,0.011572770774364471,,
3,5949,,0.020010963082313538,,
3,5999,,0.007670468185096979,,
3,6049,,0.12733019888401031,,
3,6099,,0.0004081320366822183,,
3,6149,,0.03478585183620453,,
3,6199,,0.003570724744349718,,
3,6249,,0.0017562377033755183,,
3,6299,,0.05737655982375145,,
3,6349,,0.07303810864686966,,
3,6399,,0.09156246483325958,,
3,6449,,0.0009410828351974487,,
3,6499,,0.1035056859254837,,
3,6549,,0.002024195622652769,,
3,6599,,0.0018062831368297338,,
3,6649,,0.0017717430600896478,,
3,6699,,0.06861933320760727,,
3,6749,,0.006348639726638794,,
3,6799,,0.0008340225322172046,,
3,6849,,0.07745145261287689,,
3,6875,,,0.9847999811172485,0.04669014364480972
4,6899,,0.009586729109287262,,
4,6949,,0.007156302686780691,,
4,6999,,0.006503687705844641,,
4,7049,,0.3497501611709595,,
4,7099,,0.009441768750548363,,
4,7149,,0.0063985781744122505,,
4,7199,,0.016052795574069023,,
4,7249,,0.015082473866641521,,
4,7299,,0.0021858150139451027,,
4,7349,,0.00040823378367349505,,
4,7399,,0.05693725496530533,,
4,7449,,0.00872262567281723,,
4,7499,,0.0022165190894156694,,
4,7549,,0.017451278865337372,,
4,7599,,0.001232642913237214,,
4,7649,,0.00046966984518803656,,
4,7699,,0.05756447836756706,,
4,7749,,0.002036570804193616,,
4,7799,,0.008046071976423264,,
4,7849,,0.0024958092253655195,,
4,7899,,0.007425273768603802,,
4,7949,,0.005696466192603111,,
4,7999,,0.024792946875095367,,
4,8049,,0.0007742688758298755,,
4,8099,,0.0013877871679142118,,
4,8149,,0.02347574010491371,,
4,8199,,0.028386875987052917,,
4,8249,,0.006949601694941521,,
4,8299,,0.0005219942540861666,,
4,8349,,0.014727073721587658,,
4,8399,,0.17461247742176056,,
4,8449,,0.005801928695291281,,
4,8499,,0.00021323924011085182,,
4,8549,,0.021989192813634872,,
4,8594,,,0.9868000149726868,0.03915119916200638
5,8595,,,0.996399998664856,0.01422041654586792
5,8595,0.0322248712182045,,,
